,id,rat_id,label,MeanFreq,Amplitude,AUC,Duration,Peak2Peak,Power,Entropy,NumberOfPeaks,SpecEntropy
3508,198,211,0,4.722108934144915,676.3191236502039,25.412428986037845,0.075,480.6700098327557,134165.34236070208,-0.0,1.0,2.6351623482173294
11911,40,3,0,6.678041681380424,312.5768636526224,26.22605648487512,0.145,450.3362400249128,40693.271645199085,0.7355085815538398,2.0,3.071610634130289
15116,191,4,1,7.694764434373625,2226.303154513755,170.56618809220626,0.2433333333333333,3242.470674732326,727936.3124752574,0.9605187074766162,3.0,2.4553906171056465
5740,103,9,0,13.771729374507297,1051.7806744106356,31.76335229651602,0.1133333333333333,849.2201093492874,128279.88163513216,0.7612401496918492,1.0,2.8106686826999003
167,167,206,0,9.546768896417284,562.5398120101306,28.75592757866501,0.1433333333333333,927.6857988508458,66401.61093353828,0.985909442028652,1.0,2.689209749555055
14936,11,4,1,7.249821930806595,1478.7852255123194,162.4788501012002,0.3416666666666667,2377.9657004218425,368256.6270348328,0.9788698505067784,5.0,2.735515160628505
8646,232,201,1,7.098451006067404,1313.7839749007117,153.381213070632,0.5883333333333334,2281.3353222119213,150616.07923805315,0.9663637050932146,7.0,3.2665207825695712
5697,60,9,0,2.05445455205722,670.5138467449704,46.28856250865874,0.095,606.4380025371033,262036.676426536,-0.0,1.0,2.47125773407206
8488,74,201,1,6.377325391925445,1573.869261783469,179.4384177797799,0.385,2530.0024985260875,372417.5225329876,0.926711547262741,4.0,2.344747131584578
4895,2,213,0,1.605827239411223,736.7061841925561,36.04685292365269,0.075,488.2405238639103,255212.02712812237,-0.0,1.0,2.622307532747528
12446,14,210,0,13.992306542104394,861.1875792607418,41.75135598989911,0.1233333333333333,1029.108761610781,160475.80556461014,0.9568886656798214,2.0,3.006960722475991
13381,209,203,0,10.591050747252186,964.2300439473784,35.5248635895591,0.1016666666666666,837.7783585712566,186788.5915160404,0.6807937753703206,1.0,2.964678535415157
11909,38,3,0,9.090949951206955,478.4813448854517,28.81591946791025,0.1383333333333333,619.2643102545323,62424.67993451673,0.8827586787955115,1.0,2.7130695257448614
8250,3,201,0,12.347568647179324,678.7120339542431,40.0991872892104,0.1216666666666666,1061.0823534776212,139381.0073793745,0.9693253797191862,1.0,2.4552219649452725
8533,119,201,1,7.230596211912999,1364.598196798725,144.92387732176792,0.3716666666666666,2035.7375772877112,260309.566358952,0.958861314238278,5.0,2.39788803654791
13854,420,203,1,9.427446190658516,1432.088238421073,125.65688824442368,0.46,1591.528776457796,128408.90153522398,0.9996590716691398,5.0,3.4651004369897747
156,156,206,0,7.501545344480867,469.0981204539722,27.94364705785981,0.1233333333333333,634.3901433996563,70621.68203787204,0.821812730503485,1.0,2.818065934789663
3564,254,211,0,2.197152685032649,566.5698335720797,42.410164025066535,0.1316666666666666,525.0016752917741,122193.49181256269,-0.0,1.0,2.2230278533831784
8844,430,201,1,6.480724565689886,1344.1071128922297,141.74896680499813,0.5583333333333333,1988.623828799893,155731.06115919538,1.0030184680361849,4.0,2.803387155652985
8248,1,201,0,9.214712773979386,774.996897287169,31.47720877969456,0.11,677.8029043311828,124900.13099703909,0.6500224216483541,1.0,2.906906186229992
11872,1,3,0,12.337005997757036,690.669812860755,25.1898935674458,0.1283333333333333,663.0827652372406,51901.756836009896,0.6242741010130388,1.0,2.74024981694793
11902,31,3,0,13.012254757245143,576.6688072359834,29.752351833258366,0.17,718.4298187045283,43416.026112472486,0.972086030396226,1.0,2.385352678631317
3575,265,211,0,1.8509176290792095,435.3307793590688,29.01289079271896,0.0883333333333333,380.85234066487726,116768.34489213262,-0.0,1.0,2.4363783386411098
5680,43,9,0,9.610911751101224,1189.5237617421265,55.71998935593612,0.1183333333333333,1620.9188173756156,344015.0150316132,0.8930108100446013,1.0,3.141300353852545
3465,155,211,0,6.498972301464462,707.3231543342977,40.97573551537779,0.1166666666666666,969.9512243225028,171266.6088834376,0.898058793450166,1.0,2.833766909093096
129,129,206,0,10.640306529844365,1201.6919788428029,53.54192115947952,0.1166666666666666,1602.932313320007,346597.7329540899,0.9852281360342516,2.0,3.0001417296552018
3503,193,211,0,12.084529317391684,474.98829985980126,26.570633951883853,0.1516666666666666,577.4299403110234,40833.12264017351,0.9355315642388212,1.0,2.444151875608967
3543,233,211,0,4.671802710980467,508.0936032402169,27.83882485161191,0.0966666666666666,584.5177541744524,98266.71323259428,0.2936763098513695,1.0,2.578175039589174
13514,80,203,1,8.727246153013791,1070.420870318549,123.53533960723448,0.3983333333333333,1686.3758884763715,144702.82408713218,0.9459669494775504,5.0,2.773441457628618
46,46,206,0,8.927738031270923,1072.706893237055,50.22153650245963,0.1116666666666666,1504.8533766585224,337529.1407714611,0.8794587736429037,1.0,2.927254210336325
11905,34,3,0,11.903856262046965,673.0121708492773,25.562259253116817,0.1383333333333333,462.8627836603602,40586.025200580254,0.9990574042663862,3.0,2.2093169216083743
